title,author
Calculus Made Easy,Silvanus P. Thompson
Tractatus Logico-Philosophicus (German),Ludwig Wittgenstein
Pascal's Pensées,Blaise Pascal
1001 задача для умственного счета (Russian),Sergei Aleksandrovich Rachinskii
We,Evgenii Ivanovich Zamiatin
A Course of Pure Mathematics,G. H. Hardy
The Earliest Arithmetics in English,Unknown Author
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott
Philosophiae Naturalis Principia Mathematica (Latin),Isaac Newton
The First Six Books of the Elements of Euclid,John Casey and Euclid
Theaetetus,Plato
The Rubaiyat of Omar Khayyam,Omar Khayyam
An Introduction to Mathematics,Alfred North Whitehead
Memoirs of Napoleon Bonaparte — Complete,Louis Antoine Fauvelet de Bourrienne
An Investigation of the Laws of Thought,George Boole
First Course in the Theory of Equations,Leonard E. Dickson
On Growth and Form,D'Arcy Wentworth Thompson
"Creierul, O Enigma Descifrata (Romanian)",Dorin Teodor Moisa
Reminiscences of a Stock Operator,Edwin Lefevre
Symbolic Logic,Lewis Carroll
Autobiography,John Stuart Mill
Amusements in Mathematics,Henry Ernest Dudeney
Terminal Compromise,Winn Schwartau
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott
Mysticism and Logic and Other Essays,Bertrand Russell
